binAges,band1_med,band1_lo,band1_hi,band2_med,band2_lo,band2_hi,band3_med,band3_lo,band3_hi,band4_med,band4_lo,band4_hi,band5_med,band5_lo,band5_hi,band6_med,band6_lo,band6_hi
0.0,0.57028419640342,-0.49296987754769817,3.2235290740402363,-0.07006391191976415,-1.0726862805266084,0.8940737592638677,0.05895794614216345,-1.0016266732013346,0.8662168363171503,0.1414028209226496,-0.7404879679537429,1.0059800311805414,0.1917225433725565,-0.2043023661357393,1.3360844222110762,0.00980966937974645,-0.4596333793566589,0.8205740236944494
100.0,0.0,-1.2201134166362682,1.2421613171172885,-9.996344030316351e-17,-0.9936730641506696,0.9407339327370207,0.0,-0.6195336679948964,0.6964773091286123,0.0,-0.8700321937293982,0.766658559811385,0.0,-0.4203436796957712,0.42665340067226576,0.0,-0.3969035822451812,0.49094267204955183
200.0,-0.040790705815491504,-2.0954383375892585,1.2273297073378644,0.0478287906839295,-0.7387948667328289,1.4008410819108794,0.14278587428355172,-0.4326901522936862,0.7891670527251624,0.0289766418986332,-0.7242210617430829,0.8334389775966412,0.12094862406943349,-0.28183467843034604,0.5416821279651903,0.1236512594317325,-0.3559474940932725,0.6780902295689639
300.0,0.0575279663798023,-1.8037660450162285,1.5602340443791745,0.1726234887408835,-0.49802625385637056,1.3289463186862323,0.1101086622720025,-0.48769807776673346,0.6436579544604275,-0.06233003844530415,-0.7917982119773027,0.6343417388988872,0.16738262326390685,-0.2250816444339333,0.6515409767702541,0.0798087087835112,-0.5705631063455876,0.6169080566470447
400.0,0.057448091972177304,-1.3156933128856105,1.4426136271374954,0.31435515311852014,-0.3757842344682264,1.7200106280763967,0.044176638646515096,-0.5464753361030964,0.523854411195771,-0.0718626705064953,-0.956940437934567,0.6410373725975932,0.231044287306659,-0.12912922298925175,1.0419038343304194,0.1096744604536288,-0.6739629981496763,0.734741952938163
500.0,0.17589039100512843,-0.9527303708889984,1.8274785790946133,0.3047947318379744,-0.4602443389107264,1.828122670321714,0.09474835381258495,-0.4106428519836262,0.6587107207889562,-0.1215293810226475,-0.9781163901460544,0.39877691376897867,0.131658394041157,-0.19379370759507228,0.7135915072777753,0.203212418176916,-0.3765868114668656,0.8296584615308806
600.0,0.5093934807333935,-0.5315473269216906,2.2217893389556163,0.31245385578904133,-0.5545237917000031,1.8794124705396753,0.09912650934337999,-0.450248878100864,0.7423065474632689,-0.10193007307969476,-1.2467629575394985,0.4752267323452637,0.1953617149408195,-0.1175333141402995,1.126885390261396,0.1602325454443725,-0.4070318006353737,0.8566610144418522
700.0,0.3901131646375825,-0.5880479331758622,1.934613910754069,0.2993165085045195,-0.41769409509172095,1.370015943669964,0.1524917070979375,-0.26942243694509177,0.669846590825345,-0.130302272699713,-1.247662654295753,0.36482484744911603,0.16174082138685858,-0.14658151108090361,1.0484029902653669,0.172896195891895,-0.3495427932771462,1.0618649491639378
800.0,0.22943619564849835,-1.6098168351803848,1.7237619069098582,0.2749214071630875,-0.5444744218323958,1.4769562581012126,0.170811804613009,-0.3664688298932656,0.7573953881412606,-0.160567217680528,-1.2468890557570895,0.4233988653305615,0.16412345502865325,-0.13647492578566703,0.9137051269318528,0.2573125533894945,-0.22420418969667572,1.1943420146170565
900.0,0.2267542690615151,-1.0242986680931585,1.9603856776875754,0.2554566690932627,-0.6351166397436674,1.3996695437023736,0.1094271890691855,-0.33950165971552876,0.6179002432542172,-0.18975592941141511,-1.2810594461463753,0.3488586745755776,0.270364577775689,-0.05980371976790146,1.049811559908705,0.336792585751413,-0.19209565083917637,1.4518126543070657
1000.0,0.500451602101272,-0.9984873640372489,2.026963919182415,0.07937779399099595,-0.8209324391902607,1.0955977721464698,0.16985934545268666,-0.2605792232460096,0.7149421879311362,-0.239577420235841,-1.1105215124949699,0.3073200425764486,0.33647267553975746,-0.02735976099149028,1.1362374925197916,0.3083657543476993,-0.17704087143824396,1.2863632507287743
1100.0,0.8377959778033173,-0.6903278636789631,2.3221524499030526,0.11433943221781781,-0.5467274070396788,1.261297470612176,0.23150349621705318,-0.16720328497279194,0.6907213814762544,-0.18845092529671448,-0.9747328825539995,0.2834678973764437,0.36027725460354054,-0.011772703091492068,1.087876274924166,0.311499660056194,-0.13566388377244273,1.2525285544068612
1200.0,0.9149821265595577,-0.22002662305153528,2.4649527525116706,0.188778947019513,-0.6070042612692981,1.2132669657471098,0.2284405988071765,-0.15123361484263664,0.7502910159371928,-0.20107145010550398,-1.0948927430407314,0.2445521344728314,0.413967411026539,0.07399141555728754,1.0920029747892768,0.32122879455419806,-0.043290718659472094,1.3556087832476225
1300.0,1.04424442957138,-0.5308853784065342,2.592542158829567,0.36188972079665904,-0.34451764857307104,1.5563821488766594,0.24120881319549964,-0.14787619976793787,0.6908483535496541,-0.19165521654132156,-1.203606994675561,0.3240971160046734,0.36722305069981886,0.02209697078375339,1.0460719711399273,0.3280910093919785,-0.12018545079853424,1.225371858818414
