year,age_bp,mean,lo_95,hi_95,n_members,cps_median,dcc_median,gam_median,paico_median,scc_median
-10050,12000.0,-1.018840817185249,-4.3224681954696225,-0.6857573152733354,500,-3.7081131579797546,-0.9894786312824184,-0.8733419329324116,-1.02769231629848,-0.9751566896590289
-9950,11900.0,-0.963066219001676,-4.080028458731675,-0.6194714679087495,500,-3.4064684277603403,-0.9031317741540594,-0.836638514558242,-0.965896524154055,-0.887632119380235
-9850,11800.0,-0.8964576599932056,-3.74445547034491,-0.562586292587819,500,-3.29035648090422,-0.8160248895569631,-0.8288358334580069,-0.892555192918667,-0.8510052544819535
-9750,11700.0,-0.8176165645317814,-3.4530338860823133,-0.49561027313064754,500,-2.896380741541625,-0.780978551697463,-0.67864530633214,-0.8278689744314576,-0.7681591261887475
-9650,11600.0,-0.7011316968847985,-3.084628539712337,-0.3975536212243638,500,-2.648190317233615,-0.6539685989542106,-0.6254666681388401,-0.7650186697127315,-0.6470551238581105
-9550,11500.0,-0.6162707218025996,-2.706778039540164,-0.3005308160524885,500,-2.231029731956705,-0.5875326002328435,-0.4270247179959312,-0.651043697702173,-0.5389538068662315
-9450,11400.0,-0.5287902472082484,-2.367775137195334,-0.20941436457140875,500,-1.91406957379898,-0.4920997370615595,-0.34711965706813486,-0.5710706291981145,-0.4450866160286415
-9350,11300.0,-0.44834306202428753,-2.037968537459872,-0.11775221585598968,500,-1.64507146717275,-0.422275136645921,-0.22998548345576464,-0.5066181439186961,-0.363103838038422
-9250,11200.0,-0.397688544655927,-1.750117972251156,-0.1062572182790454,500,-1.41548054098091,-0.33719001691227846,-0.32163312857685356,-0.447678448240333,-0.304200547954733
-9150,11100.0,-0.3237083851046114,-1.518331349745894,-0.04947464991201463,500,-1.21421684431224,-0.28420052232187754,-0.25185602927880163,-0.3713521551144045,-0.2228110615962095
-9050,11000.0,-0.28494203830557097,-1.323398618238436,-0.021056994225178524,500,-1.0326797599775999,-0.22756787902081899,-0.18801854111197142,-0.3334552771928935,-0.1944274299831465
-8950,10900.0,-0.22921566867266302,-1.1611302087577575,0.013186105335349725,500,-0.8616489950013551,-0.19822855286194202,-0.1361586025850171,-0.254577820533726,-0.15005209307878148
-8850,10800.0,-0.1651576441406205,-1.028121345808404,0.09785467227825734,500,-0.6603352769829395,-0.13432755760361248,-0.0457508673576393,-0.1867054561797455,-0.09827011822605741
-8750,10700.0,-0.127961549584897,-0.852111579760826,0.16004958555567603,500,-0.6084837344376866,-0.1216110426082885,-0.010860075441695899,-0.1356383821602895,-0.0733137025909614
-8650,10600.0,-0.08123772703607879,-0.7599000722454566,0.19788658227736478,500,-0.416123921884864,-0.08935212431053635,0.02385751024824715,-0.07986739682588276,-0.0004033471694547
-8550,10500.0,-0.0266020730663513,-0.5706364082729053,0.26580014106635935,500,-0.280226386358347,-0.0549146567121793,0.0829627078338443,-0.0261271366911695,0.0111246795422313
-8450,10400.0,0.01239615509918705,-0.4672517252268641,0.29383183493651666,500,-0.158360422465571,0.0128489534361763,0.06614742628780951,0.0019584988893355,0.04497193287765795
-8350,10300.0,0.04904120196017145,-0.37102190193196827,0.31938953373534174,500,-0.053966949136897105,0.04777760476397715,0.10450387591487575,0.0457860628023177,0.06784890797941259
-8250,10200.0,0.08567101874477034,-0.274922805382724,0.3928382548545239,500,0.0050627819557568995,0.0403698161125546,0.1964365954835801,0.08208297565952985,0.08842501494658006
-8150,10100.0,0.11294729282721505,-0.24331809036510604,0.40400928849260237,500,0.05446115503917505,0.08165314408614036,0.18150359296597535,0.1027703067692577,0.12337133596257199
-8050,10000.0,0.1478358969467295,-0.20097211991805666,0.41968725874808116,500,0.1442594164271955,0.126749888198858,0.17561828363788057,0.139273015654903,0.14860882512461399
-7950,9900.0,0.1652507201589905,-0.10398476044722715,0.5071136666763322,500,0.231384568805162,0.14081764120580648,0.2095298489694674,0.1552992566168595,0.168578948917841
-7850,9800.0,0.20613406474754525,-0.056545625501012706,0.5251011348030405,500,0.32459048288491155,0.1512879454441485,0.26628945022511863,0.180215155120504,0.207959514577217
-7750,9700.0,0.224079573025919,-0.024673546776666996,0.543744566594747,500,0.3520474411178625,0.1773737061293285,0.2741498962423271,0.2070688095577205,0.2267538865650865
-7650,9600.0,0.2565377472762049,0.015608905571379977,0.6013723503982294,500,0.429835015125503,0.20392862274366802,0.30101953444569624,0.2405538980398855,0.2517637689758325
-7550,9500.0,0.2774769941226173,0.03424555143574838,0.6453966705918909,500,0.411654924464682,0.214586233871771,0.31474890408798384,0.245508947867699,0.2685778313852915
-7450,9400.0,0.29797166242329254,0.06500552283887852,0.7106351323101953,500,0.5067681520782534,0.2367651456335865,0.3375846890176756,0.2717829479473485,0.275018244313253
-7350,9300.0,0.29861077070293096,0.025327066905938517,0.8161991160054299,500,0.5142978859527609,0.231152865681159,0.34920394402450017,0.28601519879863,0.289293740633991
-7250,9200.0,0.30271808764261654,0.07934933409421398,0.8137575985263767,500,0.5435891006337701,0.2517331824269225,0.3077714284844034,0.28067760900810446,0.3062021107375045
-7150,9100.0,0.32919252160085,0.09809232019389935,0.8117176242004062,500,0.618110582575082,0.250265683550356,0.37291350818766483,0.29153129857478755,0.34832333937022153
-7050,9000.0,0.3322973685118974,0.09729192225055772,0.8486929380325179,500,0.6803856700510325,0.27877409116541896,0.32160147192322863,0.292054139222199,0.336475319181565
-6950,8900.0,0.3319716713644445,0.10053142831202556,0.923219908154607,500,0.7322173937855341,0.289831056228143,0.30886430249454133,0.30857703392401903,0.329638101595756
-6850,8800.0,0.32746084122928554,0.12727067226740946,0.9786385492050157,500,0.783174924263562,0.3023286653726225,0.27945998862184296,0.31580441191619346,0.3083748392478045
-6750,8700.0,0.3351147002476555,0.10809444633479855,0.9538673228176092,500,0.7722550948702676,0.29358525950389003,0.3058006002129185,0.3115578646174585,0.31616350487677647
-6650,8600.0,0.3329080024666869,0.09988872779409878,0.9616055273886602,500,0.7594951345417845,0.28929195542331554,0.2839614482147283,0.3156996183574585,0.32645100463737353
-6550,8500.0,0.3394041331635702,0.09692461885046186,1.022273163381106,500,0.8510453619129721,0.291752793837167,0.28340157869403415,0.3291695035376735,0.31835183117237253
-6450,8400.0,0.349846835702872,0.11459876190762808,1.0333522684508523,500,0.8162896678640734,0.291726164136868,0.29297657820464706,0.365151034891925,0.3113945651601515
-6350,8300.0,0.36582077145619196,0.13260482343711427,1.0855824966311944,500,0.8548081266134364,0.31886779956260547,0.3643633442989662,0.364719973354795,0.32407642792346003
-6250,8200.0,0.37269190710696165,0.1595354425578483,1.0835601274551394,500,0.854151883860728,0.327495576844677,0.319737677466406,0.378266627801361,0.3086931789322595
-6150,8100.0,0.3766863611159106,0.13557835908136004,1.1730812937013713,500,0.9955690565527945,0.328108134944607,0.2857704559974308,0.389895026768792,0.31834829966324196
-6050,8000.0,0.3952140466960695,0.16703883908495856,1.2066820672499,500,0.976389095859699,0.3365041245913895,0.3117462445885843,0.411764193802953,0.316904440977189
-5950,7900.0,0.41587482164573786,0.14859212465067204,1.233742311078409,500,1.032319730454685,0.37325709354672,0.31149033905708073,0.4299521684421555,0.35374545328234297
-5850,7800.0,0.4505893692881434,0.18739714617042547,1.3069806579357335,500,1.10885435691895,0.3978213788050065,0.35832593140770935,0.4585665025752055,0.383277376425455
-5750,7700.0,0.45105314516912454,0.17602223200002856,1.3290829764642642,500,1.17560319163395,0.4184418567230795,0.357251052305524,0.4630141395257875,0.38325528780447504
-5650,7600.0,0.4627333131575625,0.19150635757291964,1.4418874942311422,500,1.200468864929665,0.4437474008776965,0.33861634371017013,0.4813665508812645,0.43095255964058454
