"binAges","ens1","ens2","ens3","ens4","ens5","ens6","ens7","ens8","ens9","ens10","ens11","ens12","ens13","ens14","ens15","ens16","ens17","ens18","ens19","ens20","ens21","ens22","ens23","ens24","ens25","ens26","ens27","ens28","ens29","ens30","ens31","ens32","ens33","ens34","ens35","ens36","ens37","ens38","ens39","ens40","ens41","ens42","ens43","ens44","ens45","ens46","ens47","ens48","ens49","ens50"
0,-0.276665936467787,0.783534616348424,0.520491371851666,0.864746632543355,0.208481724851867,-0.264698650412324,-0.410966922749664,0.292444850821893,0.977650456310194,0.326712338628231,0.121895407387793,0.514142508436382,0.00709858776502076,0.32728434342319,0.314602817153114,0.994197059807662,-0.0788281675721575,0.219451122956956,0.481042391852607,1.38025619624699,0.264391250185839,0.631612082297123,0.339006124556643,0.280448580602851,-0.116183518396195,-0.233534244967733,0.407385041168908,0.458078480660337,0.426825452211186,-0.342785240679068,-0.372618290177582,0.163902209437346,-0.116299910064943,0.124940300298264,0.413747706637721,0.767532649343929,0.0913604635844671,-0.347415671218171,0.345104312021504,0.549249388428428,0.892194679389612,0.546078221198803,-0.194812962040633,0.0896564968160113,0.325291179389422,0.371574944479392,-0.13971431455447,-0.164804343933341,0.218470645724259,0.00987113641547505
100,-0.407364718106035,0.0329357081910922,-0.0469224932804568,0.158227144201968,0.133632751675961,-0.606686013691424,-0.663256085361536,-0.0766014009862326,0.485216490263735,0.272570317458194,0.285850770229714,-0.116356723614886,0.0301354969593158,0.426657277745213,0.0492889148311825,0.143508851839208,-0.130000036612,-0.206940405410668,-0.00813665580902273,0.227609996554776,-0.193231470952579,0.205540512381319,0.0544987360522967,0.061254458440807,0.0834348546769351,-0.149344163992039,0.268392548906595,0.271672154637392,-0.584430632449204,-0.337751914571741,0.0329871807238971,0.454958002605287,-0.180330896641783,-0.399468366424041,-0.169274089296319,-0.0090573230605398,-0.0383967255894196,-0.513095676204722,-0.281933292348292,0.122444403976072,0.345122549665156,-0.123984871714896,-0.607200565334818,-0.0418303829056653,0.230839913808923,-0.13226401890123,0.09755845426671,0.00813665580902273,-0.244088185629817,0.20058672707231
200,0.363503633364836,-0.481534444946241,-0.0270615266404231,-0.139431082121611,0.731049637060804,-0.313106789268341,-0.101190595486068,-0.135180875763287,0.262868286479318,0.733483046756952,0.0626492862290204,-0.119471341861466,-0.0683021594829191,0.181700202824187,0.123392224163615,0.94125353304862,0.346265585486012,-0.629313164278246,0.0374442923652596,0.935434659602105,0.0802254779147787,0.125110699135688,0.428654979940502,0.445550070914353,0.722711813043443,0.055765464463456,0.245223805362866,0.341436091774051,0.0190816799040772,-0.0573559376839599,0.0592310472095727,0.208537356527799,0.421874300063233,0.132878336110688,0.0910459993358955,0.392836117711838,0.388232657100528,-0.376626546915053,0.310682894449156,-0.034118120273929,0.360067025061856,0.0299665957005349,-0.155561958366011,0.96425081123536,0.374245339689335,0.15339704596533,0.317354797979992,-0.28824803512142,0.233871404322785,-0.103497028548184
300,0.193301881055959,-0.354708712197915,0.357295168919,-0.0097014313334689,0.759205260507655,-0.546625887506256,0.0304793881058134,0.0119308624714166,0.386754355881693,0.222328815497989,0.132929392006437,-0.00312112405802778,-0.273489486005624,0.046603388843583,0.0284463314033541,0.43598594123579,0.392019659138299,-0.416242535372301,0.574681652787298,0.370422283457932,0.238819795617972,0.0800093953588481,0.446183222056263,0.392114941014104,0.40475142513062,-0.278804751384638,0.0920773436540637,0.207577679860225,0.672824313899486,0.13718485316655,-0.0501710346946498,0.417935139992413,0.243645074963121,0.530083174978181,0.0976930909389173,0.356965259498004,-0.26011712292506,-0.137838553766562,-0.143206954645602,0.23225414786873,-0.0132757890328164,-0.0373005843192783,-0.259170773636882,0.26668977024153,0.270939861091042,0.0554844878203712,-0.0113061136024743,0.0901881245520943,0.332097968272459,-0.507857935819751
400,0.105672615417522,-0.0129037770692241,0.621697106751124,-0.0641230717247532,0.522555049048362,-0.180768186504886,0.20163601418948,0.194694360275462,0.668883328014647,0.0867450756657053,-0.0743228192529514,0.00303053857080438,0.0910219557976917,-0.058623130186029,0.168852321610416,0.133795809043858,0.372285514377997,0.0372959714506166,0.437773896048059,0.339391814101605,-0.162375274899546,0.333668541619117,0.401653653483819,0.26772819087678,-0.073296786144066,-0.0868865419841694,0.102125801867222,0.0429324226821773,0.216279656587666,0.433288556489806,-0.346971341052727,0.668791812244055,0.142206764897516,0.429010460775868,0.417886776407042,-0.120359448815265,-0.0246784207034181,0.0696851219795922,0.42649178564362,0.649157028099907,-0.00534678758780416,-0.10475106443995,-0.00943361978572294,-0.103997232728479,-0.0728385491889378,0.252653993516737,0.109857232969068,0.224696518005157,0.374474911917007,-0.639103951230914
500,-0.0975056503861514,0.160666632528063,0.396993416768348,-0.181570753133067,0.550716114611185,-0.244107812108335,-0.143701399504745,0.220132386533345,0.275574664225469,0.206547728560631,0.154340835368737,0.10624708392342,0.0463446012502891,0.217878752496002,0.134356867365467,0.620631289839637,-0.00638984686863708,-0.16350956804101,0.168636331091687,0.291079752480847,-0.201063656256201,0.156617371921063,0.156238544056239,0.281286080515618,0.0895238555709846,-0.145984345855322,0.212215973332726,-0.130338303487203,0.128094788786797,0.0317615705234308,0.0767769439038314,0.679685621788729,0.199139867267962,0.152480561465687,-0.0274562637813672,-0.115996672243387,0.250115894602904,0.0991078618569696,0.319938888485366,0.422236281742324,0.313967771809663,-0.219393381427228,-0.18150019738591,0.559652346034593,-0.284315820473443,-0.000534206967570949,0.115155756202853,0.41803829830257,0.0239832964563778,-0.828260036526723
600,-0.0263404558075074,0.0673308404902385,0.29975187424701,0.332595704765659,0.388142240667063,-0.301705603652693,-0.140319616500428,0.0112236774415779,0.449901722604396,0.288342417046916,-0.0909526072250529,0.160614914506044,-0.3439915852683,0.353243656492609,0.308215610769066,0.323499340090926,-0.132192049721984,-0.343662778375266,0.323367494390691,0.0907961602905334,-0.30183705568506,0.558473717066167,0.175624714873717,0.00771499239418433,0.244046419999264,0.225063804075121,-0.316095473599501,0.43389957451777,0.141488404681734,0.165708849770936,0.203852736859382,0.438969571531997,-0.00525446952319752,0.0407652910914141,0.402180965022573,-0.369612159688154,0.258781454281214,0.159930389135253,0.244859706591885,0.539454697548631,0.511818438465892,-0.0150541860126906,-0.262315798778764,0.0400554894059223,0.0499233262379856,0.105218162787604,0.345804178290799,0.25239445668529,0.122041640688269,-0.507157887686068
700,-0.192990632848602,0.0926298919827153,0.266774756921104,-0.191306389679242,0.277305228920239,-0.300535327675966,0.0633394832008877,-0.317824242954011,0.0162655412458804,0.0783814162148415,0.281443513580203,0.0432070041793886,-0.300190599998236,0.213585283286786,0.396364467669973,0.100662746443814,-0.0341576769990484,-0.147007553907719,0.417938818877791,0.0344451105143551,-0.27066305538881,0.0224017107866474,0.0282947932984068,0.00485135560400624,0.184490738587863,0.175845526020454,-0.0279120594617191,0.314944052328844,0.225116545589146,0.181905035376778,0.196544462036275,0.0784896904769486,0.220028455726042,0.0247213552796657,0.242451769133537,-0.633831276067974,0.42001352698322,0.254020668681813,0.156632636149864,0.279433281246078,0.213094019358837,-0.0776755766660363,0.158430026158896,0.375525423244838,-0.268404876823209,0.356549325376194,0.0512969134167151,0.0960825500106873,-0.417898930432065,-0.322999356528206
800,0.250420733670678,0.111611077628883,0.0881223848957302,-0.347331236070497,0.360583548934487,0.0212373597821269,0.270018672751527,-0.0909889752550495,-0.0747625439218273,0.136578275197161,0.103310164787451,0.205299118020926,0.0468236748978172,0.0101879915166188,0.259592214026252,0.253022405731015,-0.163387745745831,-0.314094428585814,0.285904576456362,-0.0121182491017228,-0.136576409226809,0.175799247579341,0.393422181386337,-0.109230968310957,-0.0697248497459673,0.160045198852479,-0.148564406619252,0.313699428695546,0.318583107685082,0.241312899687961,-0.208540319858619,0.24146926420318,0.235604154599902,0.269236820658364,0.393970131961439,-0.116014276383238,0.471615957683767,0.0891990766687016,-0.00411632332380429,0.0857049587047915,0.652382895110032,-0.122806608324928,-0.022661930954588,0.157282102515639,-0.31410863640373,0.526883417354167,-0.107607514773264,-0.0895991373155757,-0.677937267332661,-0.207145648354745
900,0.436221396436783,-0.029560335646289,0.482475187231941,-0.0854427450488296,0.26508988576451,0.0423720036456294,0.220673377967552,-0.0673038528220484,0.105271097002645,0.213165547148934,-0.0903675968587325,0.146856460284964,0.128182523421514,0.176050469858439,0.431705046751621,0.399959030535918,-0.471324244933685,0.234988981978792,0.125305059839288,-0.337589647195895,0.172675783862471,0.083156573712382,0.511623956920163,0.095781750145698,-0.216119028218623,0.356334862083428,0.00391107319035805,0.428649161810869,0.287108885705889,0.0550876231409726,-0.361029194923541,0.021667828818478,0.27859043979016,0.391479841772364,0.507807638941105,-0.180685062115664,0.16547519313998,0.11301998701653,0.196474803190848,0.0458072486843902,0.494724098326942,0.326322027240541,0.0988598144174374,0.536634085044474,-0.540824439511281,0.381580078736888,-0.0468435515723727,0.110158544309158,-0.513855135070389,0.278725788883305
1000,0.555848180437364,0.286737093067473,0.512699187838541,0.413884916990379,0.318768372520618,0.24257208630415,0.278920795453458,-0.0373187855482852,-0.124602120364842,0.138625729256489,-0.0495672256520824,0.49919765932222,0.136075769321087,0.0387855810090866,0.147677191066371,0.59207673059984,-0.220687046707401,0.00173592366541286,-0.0208659551904793,0.204978583589158,0.0646388026658345,0.15438801058088,0.647657723819542,0.123321040356953,-0.0802781699727034,0.36545166496506,0.0240652868924315,0.722039218541768,-0.0913777198703518,0.328442038241784,-0.0954670051301711,0.0231263408421072,0.198866359668551,0.0852278199718837,0.226576886577983,-0.207870172226752,0.0552883708067932,0.149306023110828,0.212034499969238,0.431111966826348,0.435265383966186,-0.219336155837063,0.205192000604173,0.116371406595891,0.0871375653942691,0.0277934826819605,0.110501228153731,0.11620324456648,-0.289640244385667,0.0587659358134159
1100,0.364543918624435,0.647764148407951,0.399400268131135,0.255786503932561,0.299225816108928,-0.0614243248020661,0.37293933264481,0.119285658674507,0.214360623570682,0.167362853963561,0.0210570078335138,0.271147409364115,0.24053020802731,0.176828179975485,0.135983630787251,0.411795465288235,0.0288087639081914,0.112846355688939,0.202595993413154,0.309416283002288,0.0654092053145,0.379198068258633,0.86697478370285,0.542647943790274,0.142289459414031,0.366277777799444,0.361902294917693,0.539109063356741,-0.0381094511057162,0.39091968217969,-0.362364734930471,0.0655048821228895,0.27473347836611,-0.181204088753541,0.218005902929219,0.0577982213467867,0.301891370736415,0.445067583408516,0.375043219942799,0.0779705424793527,0.0469325457040122,-0.146206810687875,0.330468029018921,0.54766545014456,0.479623618038839,0.360639048914353,0.339426451794807,0.337780004430884,0.443678212005451,-0.218802422681194
1200,0.685273386450846,0.841164278505889,0.144282093984386,0.240649272515612,0.511695508560682,0.173858638473107,0.20922816935051,0.412218372560306,0.231898794635497,0.261769544846585,-0.110650486134715,0.103592598773906,0.275359908787026,0.107468750892556,-0.0951780411402123,0.463541736718232,0.379703896253391,0.355432397357508,0.289242820242925,0.417383080561704,0.570562467502792,0.573229219022928,0.833406019774421,0.524649950610179,0.114534264689344,0.823188560931324,0.727577531027875,0.527867577871359,0.412985921476819,0.453240044653851,0.20982620971729,0.2930374080835,0.417240976477096,-0.184233869083051,0.481155437592491,0.213057751071838,0.41791531149993,0.457899407361485,0.732043473174794,0.149807842699115,0.105101741640534,-0.0453911795227722,0.423782638630296,0.652409394370076,0.766561550940933,0.32164685687916,0.481907558807609,0.18572236697707,0.645366671339471,0.187731803946942
