"binAges","band","ens1","ens2","ens3","ens4","ens5","ens6","ens7","ens8","ens9","ens10","ens11","ens12","ens13","ens14","ens15","ens16","ens17","ens18","ens19","ens20","ens21","ens22","ens23","ens24","ens25","ens26","ens27","ens28","ens29","ens30","ens31","ens32","ens33","ens34","ens35","ens36","ens37","ens38","ens39","ens40","ens41","ens42","ens43","ens44","ens45","ens46","ens47","ens48","ens49","ens50","ens51","ens52","ens53","ens54","ens55","ens56","ens57","ens58","ens59","ens60","ens61","ens62","ens63","ens64","ens65","ens66","ens67","ens68","ens69","ens70","ens71","ens72","ens73","ens74","ens75","ens76","ens77","ens78","ens79","ens80","ens81","ens82","ens83","ens84","ens85","ens86","ens87","ens88","ens89","ens90","ens91","ens92","ens93","ens94","ens95","ens96","ens97","ens98","ens99","ens100"
0,1,0.247475699127599,0.20013217853198,0.202052899194743,0.179350771901152,0.278124587573257,0.15003131833418,0.116876004788323,0.276763151491382,0.0573310168033538,0.271258563573946,0.0745371356350464,0.130207113780304,0.188057366387004,0.226219455479232,0.22061164138999,0.0107187590570299,0.266870902722619,0.303749291984279,0.0619254406527468,0.164895753148958,0.279597487558625,0.18192798586862,0.0616593224001841,0.135099925249675,0.244598444722388,0.0545491908762915,0.0552606712188595,0.258271777394569,0.144858182419609,0.130593277805963,0.241489783265731,0.144066297012846,0.080493182114404,0.171526421707723,0.128019443616893,0.207954313864639,0.173201578996413,-0.0392283523061381,0.212848282702533,-0.129327477040321,0.0545120753992318,-0.0361898455870287,0.194336205390173,0.134429380385607,0.0869839836958766,0.260453773620601,0.159922736520649,0.127512595951952,0.0786435813958639,0.200084703546954,0.23048422943188,0.17706997603865,0.124307547479378,0.243598359186596,0.240860361199271,0.185298343762746,0.0641720492783927,0.299583704986075,0.060321791432088,0.293446120987258,0.223463491186641,0.203102084949874,0.20624470766028,0.18967802762188,0.0633055568732082,0.0432855274405591,0.187427806844937,0.150201354012131,0.00642671273439713,0.165306183412845,0.0979459112270328,0.0338202954910061,-0.00828529193838121,0.141595389746927,0.087157034182962,0.113955719774565,0.147772367558599,0.0800715560574307,0.233680064764387,-0.0669453465521781,0.131659381600123,0.0985459469311134,0.159324526249324,0.132506264631269,-0.10220539613748,0.181923033247083,0.230480881248825,0.0584659513936492,0.0130896175580988,0.215511437629337,0.1660057863008,0.161199567532844,0.119964513073085,0.185784988145823,0.00475599727291312,0.177324993679904,-0.0229244817338356,0.288231451780769,0.143954666071208,-0.0924858270441448
100,1,-0.0577860847090771,-0.0155983877060837,-0.0234101490111732,-0.073946832933191,0.145189102370624,0.00479820890243796,-0.109657357511094,-0.0659821412100311,-0.0423861877142769,-0.0534421614635845,-0.131915906514266,0.0656724260182502,0.0639491382129032,0.042732544860073,-0.218511655374524,-0.165008247151372,-0.0504811951423728,-0.0743142312703076,-0.0852346615519302,-0.0252247359644396,-0.0653556929794284,0.0493910672247701,0.111801511890083,0.03550022904373,0.0836903915951069,-0.281400147726419,-0.0252282652968841,-0.0933027137198879,-0.0268543676946021,0.0673029983558653,0.00545474875953114,0.0438141127475643,0.137287817031883,0.21574196086039,0.0806294281570067,-0.0286690424578279,0.136160940773703,-0.130428023513525,-0.159913807678054,0.191510259727965,-0.163386983659246,0.018646790264875,0.199324183071517,0.0305704963280462,0.0014543434785641,0.152232955014026,0.0735041170227242,0.0425859832987625,0.0494330769092708,-0.134036777172777,-0.11387344510293,-0.0401019069910407,0.0413645420127183,0.0107805658952268,0.175623711134063,-0.0138574707516807,0.00640090827054765,-0.0530932072828701,-0.115085082101836,0.0582197645289208,0.118110342834271,0.0256135862562517,0.129256857376774,0.0714300585184341,-0.0427145064052583,0.0291657939449644,0.0356458727127081,0.000307431289366472,-0.025231885329405,-0.0861203731061581,0.0131974895343974,0.00479068485018455,-0.0444374069739001,0.0596514448249973,-0.000307431289366472,-0.162108615547124,0.0019500384685707,-0.107410439357778,-0.0687408514133483,-0.0259962985921472,-0.089415832675847,0.031118432637792,-0.142326560969013,-0.16595084997537,0.0362873574690012,0.164824640213963,-0.136759730092378,-0.0709971089754416,0.0381336559635944,-0.0300442980283248,0.036719804545302,0.0229707897771818,0.0502687975539556,-0.0271553261882652,-0.10490421704149,0.0672109642477506,0.0975312534091525,-0.042109105355682,-0.0084020673231778,-0.000646614024356756
200,1,-0.0580032989384318,0.00574151081502741,0.083356009708326,-0.0549816183396672,-0.0708510584869018,0.128914853479959,-0.0993345832323816,-0.110796345270366,0.107560841851265,0.00246729228864609,0.0179031280691757,-0.0170659435663818,-0.0882828729092158,0.0517331675057538,-0.0637402168287971,-0.0477937155440955,0.0800278000048076,0.0944338333499112,0.0458895342509255,-0.0831954883319856,-0.00516868362000031,0.0719780997715253,-0.0188903214754666,0.00469289033550438,-0.0389108338000024,-0.0766754882567942,-0.218765441584271,-0.0909729293158431,-0.0918643320695091,-0.0271523649002538,0.00667010504344109,-0.193125820554417,-0.0638612914973489,-0.0648182288751411,-0.0413783089212936,0.0817107495536978,-0.0578148424016417,0.00936397621830617,-0.0551072769303973,-0.0732693106570728,-0.17670169627524,-0.0275931848858151,0.0869962110484628,0.111757524927449,0.0763773563425691,0.00735032636078656,0.0885229243400784,0.13159537236661,-0.0958542979039549,-0.0323804062107017,0.00917356370251413,-0.0180186311416307,-0.0377105888420546,-0.0660914244952905,-0.0247045791947046,0.00524758804699879,-0.0451495333937626,-0.0591226969249659,-0.123728841049756,-0.0136569420650755,-0.0183088780094887,-0.051105781637447,0.161199502721382,-0.0627929983376388,-0.192746332743668,-0.0603695163419903,-0.163726282418813,-0.100022777754318,-0.111108093665171,0.00410999099067474,0.0776056861500123,-0.0917696144213788,-0.000128037016232846,-0.115460408705937,0.129937083787689,-0.0308129230147052,-0.00572678207889762,-0.0914434371568103,-0.0491681706055173,-0.128250492896103,0.0584383993048536,-0.0874723630295842,0.0677382962929119,0.037080366419528,0.0845243223017205,-0.0226282799459989,-0.0870792008165966,-0.0812289457484797,-0.0514008705047347,-0.0589035770519778,-0.0368901742806294,0.0324796111896166,-0.116135691647369,-0.143108779167997,-0.108250696073162,-0.0876285898776579,0.161687041293277,-0.0280450393334858,-0.0748221561636926,0.0146656416695162
300,1,-0.00496204319076862,-0.149989132531625,0.00840246326109881,-0.0720174711026596,0.173760006379759,0.00863043268460514,0.370129314876156,0.0963616464428886,-0.0938200996853658,0.0631868125837007,0.112724731938437,-0.0295172241177674,0.0234781398133957,-0.0453798653481991,0.0255694618215602,-0.0205022312233265,-0.00192343677558973,0.0516588527098204,-0.086798185520053,0.0568286971016337,-0.0496195997670509,0.262891443441937,-0.0383008281290143,-0.105004079914391,0.0072972459356421,-0.10177296142363,-0.161167462541812,0.00658109062181136,0.0490972029378093,0.000868447272078271,0.11713635619357,0.014638751397987,-0.0605742225335773,0.090738432407326,-0.0546791614491847,0.119699252667534,-0.120306281065892,-0.0290748271329821,-0.0732552798719397,-0.0537516747527458,-0.240964336920373,-0.0466370058122015,0.111961203096684,0.179544573360339,-0.0131280132161045,0.0156447830334185,0.112272135494634,0.143094203417826,0.0872648346875175,0.00409160199689376,0.0775814024407543,-0.0930890294841049,-0.111430639936084,-0.0141184338332487,0.0145384916966902,0.173331156476691,-0.0470332933357518,0.0509702294731369,0.00733577090797122,0.0305325347921085,0.0311727455912498,-0.0560059699311347,0.14254581343317,-0.0660477632044157,0.0604971343252721,0.252604630190902,-0.0730571520861072,0.0293583258913046,-0.0641212447663042,-0.00572998422772283,0.00418727163723129,0.0308904447021825,-0.0793205041761988,0.127142827441184,-0.036870247076732,-0.0931688087197845,0.15951681264064,-0.0427377110181682,0.0145693793225574,0.0444632177500518,0.172011536040829,0.0115445301058369,0.097879643150104,0.15404816271738,-0.000652659488859758,0.0476336266726162,0.0086064082247457,-0.0990167881450042,-0.16535863892031,0.0277587447762796,0.199763946706845,0.0415293315206348,-0.0371678007804297,0.114144161597727,-0.0437484006383698,-0.050444043871147,0.266626946244046,0.0244849637761197,-0.0515029693620063,0.0314346245631973
400,1,-0.0977731671823719,-0.0612932971413344,-0.0208330346863831,-0.0311708256217333,0.0503740108875283,0.0472738275494438,0.0288619980781609,0.21783117698914,0.0888275829565137,0.118340380404227,0.142266689722952,0.110792192764931,-0.17741467399056,-0.116357613088439,-0.0396589616099276,-0.0761128145337447,0.0694888525977684,0.213831353936892,0.00947021652843608,-0.00942015127320758,0.0117694963538378,-0.0408222552721907,-0.007562140637876,0.0343564929639791,0.00236060752720632,-0.0397429071352127,-0.0585387455652869,-0.0151898228228065,0.159583398554453,-0.120793463747552,0.043867952767698,0.0548027973687063,0.0694433948549135,0.00646276712684959,0.0815714619440328,-0.0771731420173243,-0.112232905276046,-0.0197595626610096,-0.0401223680920668,0.152840335099082,0.0598045864434903,-0.209407393201282,-0.0508424250216991,-0.0301972223429837,0.0815865506797052,-0.0828104586297164,0.0982700959396651,-0.0218121006068549,0.128687304607181,-0.213678739818484,0.0484760183116184,-0.0236217824845306,-0.109598551637008,0.103323177745362,-0.0316822790840749,0.106987100333961,0.049632770391806,0.0799014196019286,-0.05004714703907,0.151752950754492,-0.0966275950401374,0.096168632846255,0.155895952874066,0.0673211628249664,0.0412614033377542,0.0235392292976361,-0.0916632322802841,-0.0699392648218324,0.0990942890756875,-0.160928722635687,0.10675253847678,-0.0418331780175502,-0.119558005595285,0.103757150929638,-0.0418811676498918,-0.00111009619740696,0.105787337739737,0.0282623446588611,0.0957537268016562,0.0651214832285671,0.00272960034099382,0.0137375937052639,0.102734353759615,0.0136344930394064,-0.0500063359000332,-0.180301593120066,-0.0864193403402363,0.0612735566680861,-0.158058793813513,0.00243421947780917,0.0501585330012298,0.257388024304483,0.0718325529338576,-0.0367376756094538,0.0819147957867256,0.00422418727089358,-0.0364951395740847,-0.0392553174671704,-0.18892015393892,0.0780756253326247
500,1,0.15558640799916,0.0627967298184493,0.14004321637659,-0.044117522621274,0.124613119173741,0.0892756059576589,0.0396260849505201,0.0905635375102295,0.0338476109820787,0.191603767014927,0.160215245692908,0.126005014046827,-0.0328208982278462,0.00385124184152538,0.0354865473024531,0.0202210784244023,0.12789850345786,0.121422056060586,0.0920464277633124,0.124348863662346,0.0355215881402488,-0.0692276712399153,0.0343715765217189,0.0656210992716249,0.10753526368095,-0.000780131825612623,0.0922628897239792,-0.0376659101861584,0.2081772404467,0.103593425097424,0.220850070487642,-0.125010153139995,0.0549826863821226,-0.0816045011399766,-0.1144152380357,0.060194235321979,0.0104486027467648,0.166442908153371,0.0107704361904856,0.0568062702063999,-0.00846986775669054,-0.00702359719047116,0.318357026748011,0.0725573624911847,0.242217251286914,0.118875303803652,0.103611610026504,0.227711619813642,-0.042352647431897,0.021536371839649,0.0311456460578849,0.136206734599651,0.0302897585645227,0.169383177618106,-0.0873467601736598,0.052202920445018,0.167225565877617,0.245718313801469,0.00496302317312658,0.0929351831711524,-0.0280409492659649,-0.00604334412326193,0.115869630766658,0.0510998198426186,-0.0101906460486799,0.0207917515633315,-0.00525065175439668,0.125351144146851,0.145000390577111,-0.073934500748921,0.0713657639213281,0.0612439748864139,-0.211051110904085,0.0869246995429273,-0.175931091699005,-0.0112235627461867,0.155152812454173,0.196645570545718,0.0882153574768202,-0.134975284750033,-0.120707735392275,0.0708304253249469,0.193499855884837,0.124258174538122,-0.204903033850072,0.109842190899253,0.00934956360731667,0.175275239243244,-0.196224155204498,-0.0414877726059304,0.0974251127416666,0.162404615069684,0.0892081259102956,0.0414927342311772,0.197256249524324,0.118851174382875,0.0144973499245722,0.147919379490139,0.0738339276404027,0.0671181443474315
600,1,0.173644902613159,0.0534970566201388,0.183981389602778,0.0633666203694704,0.104433125939162,0.0835758500649843,0.0566054684051642,0.117130567969212,0.203784543955601,0.115064208660294,0.00462893635159448,0.096493389511856,-0.0735440470667647,-0.0526531451470277,0.0513369044130791,0.236214898795449,0.131645564962624,0.108721876984273,0.131796611345186,0.156668883560013,0.041105835328749,0.0996269789423394,-0.0346343377960479,0.0993033765149547,0.0650544438305783,0.0624647094725307,0.0343687900660808,0.0561535341346032,0.162584140106184,0.0118803393403956,0.0070713480798936,-0.00367823178797297,0.207323230367845,0.0705675257611339,-0.0684109452937224,0.103358933664765,0.00958333779216261,-0.119485779160188,0.110874046002098,-0.0986818043904466,0.0568371275404694,0.179707602163608,0.227187210074604,0.035770129224311,0.104211062588108,0.0967257506452482,-0.0385671422813334,0.274924727264697,-0.161926940947135,0.0504599166298813,0.017646026799998,-0.0301472701716567,0.057528823934299,0.0771726648451343,-0.0478218540245391,0.144122473165707,0.0784874433809048,0.091934033444375,0.189775820212431,0.0318167114183713,0.126338389020329,0.175654141298541,0.0277578488404821,0.00667750213092747,0.0746362955025551,0.17468257539886,0.0140491280517796,0.10853002261609,0.174447087366817,-0.0858003959771015,-0.0566176261758551,0.0956417192429537,-0.0312465874338292,0.189049685390013,-0.109948854385688,0.225790605768391,-0.0197934060517239,0.186374363400112,0.126070854265141,0.0937955353301418,-0.00150177977562196,0.0824033317843272,0.182816412220036,0.0698484486220144,-0.186333787734093,0.281189269740749,0.0469407669711717,0.067279903761854,-0.00993672713118157,0.0249498201614109,-0.0311278292702627,0.0812148478978751,0.16389605210069,0.0690907259059342,0.166200050321205,0.145366731673441,0.034866005095982,0.12418777384384,0.0905515981192736,0.130578532391685
700,1,0.0584731090366381,-0.0529723637412522,0.161552327918033,-0.0307772650016766,0.141234729165867,0.0447944184850212,-0.00505019687347721,0.161069645139229,0.0991439818604169,0.0199893194239903,0.0339033843979074,-0.211158057005095,-0.0347078134025291,-0.0479585922995943,-0.115038314094972,-0.0267127912411534,0.0316878700965326,0.138932446788818,-0.106768094923002,0.187072396544349,0.00860568538259307,0.0366918642176003,0.0802484947334914,-0.0837843857614124,-0.143050504046797,0.00152341948585841,-0.102722328574146,0.00658614971156948,0.0588617150659635,0.0727882619727823,-0.0501256585476842,-0.120619594545873,0.062821681966112,0.00827189266544301,-0.101998183365475,0.03585870056653,0.0420914561563029,-0.249795266545944,-0.112696015681866,0.0256183177260535,-0.0808692306332832,0.00599654414243619,0.20703197699492,-0.0356350946654978,-0.0130270270481231,0.00319933852646484,-0.0972299349477813,0.0542846839760801,-0.0396661746307028,-0.0372037037949564,-0.00254651299139366,-0.060207600969943,0.0303290007075627,0.00657354369679344,0.033380280505536,-0.111436933727581,-0.0968444846285499,0.134997697112931,0.0982390397855334,0.0115346918591729,-0.0321967320555409,0.0903903781241036,-0.0913960731957658,0.133647469825305,0.15497442818836,0.0940520039663211,0.00744192741567554,0.112317630590898,0.122878574867595,-0.229479922277108,0.0117025575794454,0.105055644095623,0.0181318112662235,0.0808996374774184,-0.0836092292108943,-0.0188912887874787,-0.0907722701171003,0.035296513659811,0.0696459141069279,0.111896117905208,0.249890402642015,0.0766028444637828,0.116148507072607,0.100693927088501,-0.284904179385203,0.0463331674555695,-0.0427210487861126,0.00596188638451836,-0.115970907223347,-0.0524389871113882,-0.105787302927662,0.111456798187685,0.197991050331902,0.0671976098896282,0.147094653663583,-0.0196255176751387,0.0476949495238016,-0.0792649195266332,0.0156346775088074,-0.0258357651893023
800,1,0.0520129447252634,-0.031403423305071,0.124319518755574,0.0541236308490073,0.1927858668233,0.0976910952486417,-0.0132485439545053,0.0230045893269344,0.0762203359863356,-0.0581135393227486,-0.0382547718924392,-0.0503670183398001,-0.161576779104345,-0.00591860097968808,-0.0644207556370208,0.0281031793862672,0.00641378856143623,0.0632431689781232,0.122791590565713,-0.0525550259325152,0.0237534705311605,0.0483595467936333,0.176510326645975,0.120685835399639,-0.057668757082497,-0.0644653004490202,-0.0564754893301671,0.0589474858563998,0.00728451596107224,0.0446556430260292,-0.106022591880216,-0.130559986391717,0.0657704558566849,0.138960476182571,0.217725447149911,-0.080335273129793,0.123229318058039,-0.0404234956546579,-0.164459816424193,0.0700882965372366,-0.0850152184056925,0.0504526856981865,0.0401163924212198,0.0106325710153287,-0.069912707539886,-0.0478263387849412,-0.0587278986896149,0.0904983052376331,0.0202323345972687,-0.187413589499755,0.0672511774436244,-0.0504883112938145,-0.0164285790077731,0.0865760170890992,0.0179222296334802,0.232772927559162,0.0104404666436783,0.100012337957811,-0.138605982288521,0.0538224852356826,0.0657998754520638,-0.0478788458094723,0.0535680986670308,0.266625537274853,0.142618318605514,0.0508186232231159,0.0610426451813711,0.0475393013970625,-0.0854059126869493,-0.0750171044071452,0.0915446328686213,-0.0237292659510901,0.0389579626746562,0.158303131682846,0.127362472807618,0.104540573333044,0.136095354512527,-0.0327823822553315,-0.0956696470811384,0.109128216702906,0.103156505476856,0.0313820702348519,0.0265702161878047,0.185192110988598,-0.00696163172444739,0.0922722761193771,-0.0578704648908518,0.118285034834842,-0.0241576646723261,0.0453135977090569,0.00421779401472208,0.0970165572886053,0.0975277672523895,0.0304869702841761,0.101674181424236,-0.0746538060774825,-0.0892286256047159,0.0474328159183963,-0.0327868751865185,-0.177850844457462
900,1,0.136336452399197,-0.222626121867522,0.0626334514645946,0.0854712665056434,0.0781864321160688,-0.0558037113047092,0.0335032603033976,0.0177702547935779,-0.037615590066338,0.0659738017594754,-0.00749581784570671,-0.037683941534202,0.0349909862884878,-0.154396620655701,0.0100669410610872,-0.0273784079220777,0.0385565839154209,-0.00330091067551438,0.0457776883442866,0.0623711931937806,0.0154975036179706,0.0574587787598835,-0.0700143635497114,0.0419834428786514,-0.0343031985802802,0.0204341923764912,-0.060224772339315,0.124536863612969,0.0466643088559628,0.175316466787569,0.026262222557617,-0.0942921216341409,0.110550004219444,-0.000856233719400218,0.0537534721800643,-0.0948279282647534,-0.018196360528419,-0.162712265260766,-0.0362689250772262,-0.0247339971447784,0.0955279481739867,-0.0509189073018871,0.0388720839704548,0.220004328833138,-0.093776946386162,-0.0607433963190439,-0.0483876270886711,0.00255376126946125,-0.162965198106049,-0.112918009986065,-0.0056277648429843,-0.201389711825863,-0.136132557687861,-0.00522015804197903,0.0522597379946888,0.108025544050358,-0.0368405420057365,0.149385970239583,-0.0669355065809039,-0.0626818915685363,-0.0270498306073408,0.0120827789737185,0.0935102781223373,0.126651524674395,-0.0839730352131028,0.00509468733169224,0.0855877663845949,0.00164630918895323,0.0506545243814891,-0.140422356234639,-0.135345819308808,0.130650038368158,0.0406963039117733,-0.0427450597750058,-0.116774133814927,0.0693427649209802,0.0391889237650613,-0.00781883794299948,-0.0702519320570793,-0.0524374237492943,-0.0247571728487493,0.0481094173539081,0.210398690918358,0.0744504382105432,-0.217406718523444,-0.125833223110084,-0.0337447839253489,0.0147440446261059,-0.16625953261433,-0.145463645097293,-0.000590334323649272,0.0358990612489306,0.0669905857534621,0.0333649881334202,0.00343359141833813,0.122795596745741,0.0942656859879939,-0.0652600435535008,-0.0746379442734304,-0.116579626943715
