age_bp,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71,e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90,e91,e92,e93,e94,e95,e96,e97,e98,e99,e100,e101,e102,e103,e104,e105,e106,e107,e108,e109,e110,e111,e112,e113,e114,e115,e116,e117,e118,e119,e120,e121,e122,e123,e124,e125,e126,e127,e128,e129,e130,e131,e132,e133,e134,e135,e136,e137,e138,e139,e140,e141,e142,e143,e144,e145,e146,e147,e148,e149,e150,e151,e152,e153,e154,e155,e156,e157,e158,e159,e160,e161,e162,e163,e164,e165,e166,e167,e168,e169,e170,e171,e172,e173,e174,e175,e176,e177,e178,e179,e180,e181,e182,e183,e184,e185,e186,e187,e188,e189,e190,e191,e192,e193,e194,e195,e196,e197
1949,-0.0422816,-0.10523,-0.0280245,0.119451,-0.153942,0.0351478,-0.148107,-0.120464,-0.0236711,-0.161269,-0.252832,-0.119385,0.00963867,-0.174064,-0.149095,-0.165943,0.0744045,-0.187168,0.0469372,-0.246486,-0.0538804,-0.00932452,0.132403,-0.210942,-0.18943,-0.109786,-0.0894512,-0.0592834,-0.0478922,-0.0759421,-0.217578,0.0942699,-0.0165704,0.0626214,0.153214,0.0785924,0.168898,-0.0491388,0.304694,-0.0273893,-0.0591106,-0.0381305,0.209903,0.195615,0.258254,-0.0150679,-0.0435591,0.0799324,0.0104576,0.103809,0.318977,0.481351,0.0537276,0.137978,-0.0255969,0.212369,0.312966,0.143598,-0.00312724,0.312086,0.211545,0.230184,0.262821,0.0630593,-0.0369552,-0.197244,0.273176,0.345605,0.58952,0.876593,-0.0592227,0.122703,0.809549,0.219869,0.551224,0.148837,0.257259,0.728902,-0.0176978,0.159357,-0.117724,0.663289,0.622395,0.477239,0.53088,-0.487171,-0.0909204,0.464264,0.130905,0.195019,0.243394,0.0903598,0.416653,0.269064,0.457557,0.119912,0.0488813,0.112689,-0.0926678,0.210516,0.247218,0.12952,0.286439,0.119715,0.4476,0.0537228,0.0311545,0.384169,0.195776,0.420759,0.315528,0.343044,0.182657,0.248723,0.320227,0.278894,0.179467,0.22566,0.212265,0.121111,-0.077298,0.181567,0.219492,0.114321,-0.0341948,0.253269,0.0386086,0.0572563,0.0741888,0.0513291,0.264964,0.442789,0.053377,0.0868018,0.0213362,-0.0280556,0.0845783,0.0278245,0.0971429,0.00643928,-0.00391939,-0.133503,0.00109226,0.0108759,-0.187711,0.203117,-0.119384,-0.0524771,0.116572,0.103587,0.0427425,0.0940854,-0.0918879,-0.0934658,0.183985,0.0703365,0.173314,-0.126968,0.134184,0.0696643,0.0786342,0.0714846,-0.00724447,-0.232246,-0.07663,-0.226177,0.252613,-0.0163479,-0.270209,0.184275,0.0840008,0.136817,-0.116836,-0.0503902,-0.0331533,0.102014,-0.192585,0.0404097,0.0351119,0.119117,0.241543,-0.342486,0.33619,0.462843,-0.14758,0.345524,0.134891,0.277793,-0.261777,-0.0933222,-0.0161938,0.360269,0.16867,-0.0376364,-0.189848,-0.523466,-0.271438,0.264626
1948,-0.149849,0.0293515,-0.116845,0.0984233,0.0888795,-0.0341789,-0.0930573,-0.140422,-0.165976,0.000660974,-0.00592088,-0.0872734,-0.109615,0.0186392,-0.349607,-0.0211117,-0.28895,0.101778,-0.0725514,-0.0636678,-0.024939,0.0371578,-0.00811495,-0.0892006,-0.124382,-0.182908,-0.292999,0.037619,-0.134184,0.0781543,0.141651,-0.147927,0.0252779,0.218185,0.291735,0.6237,0.0780311,0.358306,-0.05541,-0.132076,0.416433,0.26957,0.334392,0.24411,0.0735934,0.276887,0.376796,-0.0516008,0.101887,0.00710547,0.42978,0.521834,0.185383,0.514491,0.119198,0.335952,0.54616,-0.195823,0.102168,0.168463,0.265357,0.409158,0.0204924,0.253319,-0.143369,0.325007,0.302632,0.569756,0.825901,0.684896,-0.365831,0.11286,0.388111,0.616095,1.14647,0.347528,0.251145,0.363813,-0.00753225,0.682951,0.419698,0.30646,0.257932,0.282841,0.600171,0.00275791,0.36856,0.356661,0.232515,0.407346,0.271214,0.767025,0.664569,1.10876,0.27388,0.338573,0.74764,0.506976,-0.00459527,0.224562,0.261264,0.143566,0.300485,0.13376,0.461646,0.0677686,0.0452003,0.398215,0.209822,0.434805,0.329574,0.35709,0.196703,0.262768,0.334273,0.29294,0.193513,0.239706,0.226311,0.135157,-0.0632522,0.195613,0.233538,0.128367,-0.020149,0.267314,0.0526544,0.0713021,0.0882346,0.0653749,0.27901,0.456835,0.00128028,0.297467,0.139059,0.0695954,0.0421131,0.0177896,0.164548,0.0336586,0.160926,0.00260989,-0.0250595,0.209597,0.156036,0.0125068,-0.0320541,0.209362,0.0582652,0.304215,0.0871846,0.147351,0.0500353,-0.106333,0.117665,0.106148,0.0101005,-0.0576843,0.182424,0.226655,-0.0757195,-0.17465,0.209486,-0.100445,0.148332,0.203481,0.306301,-0.151601,0.342974,0.100827,0.0277032,0.360544,0.0178304,-0.234367,0.0477499,0.413573,-0.128531,-0.0267356,-0.116679,-0.0213894,0.549503,0.0892179,0.335227,0.470178,-0.0483897,0.499355,-0.197447,0.0297752,0.278749,0.309808,0.290986,-0.0422344,-0.0647942,-0.454358,0.207953,0.301825,0.0728689,0.0891607
1947,-0.352872,0.261106,0.27136,0.051733,0.336896,-0.0499116,-0.00880462,-0.0228521,0.204557,-0.214193,0.224178,0.0499259,0.179042,0.310188,-0.195501,0.170796,-0.269436,0.106425,-0.0829716,0.0294402,0.0507747,0.168575,0.245212,0.0452794,-0.0393424,0.0109119,0.0343186,0.152054,0.00697231,0.0119822,-0.0688342,0.067387,0.160439,0.275292,0.43378,-0.0949615,0.218721,0.464372,0.546228,0.294623,0.42388,0.160155,0.0657923,0.584021,0.254253,0.290387,0.298593,0.039299,0.371501,0.121485,0.415186,0.434905,0.15373,0.451744,0.166052,0.310662,0.330504,0.542078,0.11711,0.210644,0.492442,0.190738,0.0757348,0.172957,-0.137553,0.114215,0.955881,0.763248,0.286386,0.260292,-0.0831944,0.160473,0.77379,0.324997,1.33801,0.537819,0.4161,0.275103,-0.129696,0.13828,0.302721,0.871016,0.495276,0.436653,0.107967,0.256766,0.244264,0.0274531,0.201561,0.460677,0.76263,0.670246,0.262021,0.922961,0.327132,0.48039,0.41214,0.110423,-0.0328903,0.255839,0.29254,0.174843,0.331761,0.165037,0.492922,0.0990452,0.0764769,0.429492,0.241099,0.466081,0.360851,0.388367,0.22798,0.294045,0.36555,0.324216,0.22479,0.270983,0.257588,0.166433,-0.0319756,0.226889,0.264815,0.159643,0.0111276,0.298591,0.083931,0.102579,0.119511,0.0966516,0.310286,0.488111,0.265378,0.252252,-0.075273,0.0574226,0.0780028,-0.0861682,0.149049,-0.0502329,0.00359626,0.109124,0.253291,0.246413,0.202785,0.0686703,-0.0525966,0.197124,0.329382,0.0134968,0.0749744,0.0876546,0.109743,0.147082,0.0824598,0.231224,0.0540492,0.175182,0.231441,0.0366697,0.0997558,0.107006,0.0815588,-0.0112437,0.0182626,0.326932,0.0412412,0.0248718,0.535514,0.0406274,0.211861,0.258307,0.434055,-0.0383837,0.236252,0.67954,0.228893,0.121738,0.0128353,0.298899,0.296929,0.252923,0.348198,-0.124902,0.0517618,-0.0972171,-0.392243,0.451167,0.390246,0.227162,-0.19847,0.419299,0.271543,0.0233575,0.0843659,0.635039,0.0690633,0.727032
1946,-0.11625,-0.156049,0.156826,-0.053456,-0.109986,0.202767,0.0259835,-0.0242667,0.0316265,0.149332,-0.0585524,-0.00827978,-0.156674,-0.00616393,0.00383787,-0.0666145,-0.0751225,-0.0572773,0.124004,-0.145052,-0.0444147,0.114476,-0.293657,0.0749174,-0.0702332,-0.0403053,-0.039788,-0.289279,-0.0144142,0.200558,0.0385875,-0.304717,0.0021221,0.311674,0.314738,0.0658808,-0.276939,0.0721189,0.403235,0.215534,0.302533,-0.0305042,0.00843452,-0.00177041,0.197058,0.0619651,0.240962,0.125225,0.181985,0.059127,0.1611,0.251886,0.229145,0.300907,-0.25988,0.0139211,0.300724,0.24334,0.0272087,0.431801,0.361136,0.0653656,0.122559,0.183013,-0.107672,0.122891,0.214602,0.196821,0.455116,0.840409,0.126789,-0.207713,0.892486,0.321107,0.172852,0.286342,0.497087,0.00783051,-0.145103,0.320304,0.150392,0.652185,0.203171,0.141591,0.0506022,0.268251,-0.290878,0.215407,-0.0693115,0.267985,0.0202269,0.44462,0.733242,0.465276,-0.093538,0.59723,0.426127,0.283676,0.302116,0.256716,0.293417,0.17572,0.332638,0.165914,0.493799,0.0999222,0.0773539,0.430369,0.241976,0.466958,0.361728,0.389244,0.228856,0.294922,0.366426,0.325093,0.225667,0.271859,0.258464,0.16731,-0.0310986,0.227766,0.265691,0.16052,0.0120046,0.299468,0.0848079,0.103456,0.120388,0.0975285,0.311163,0.488988,0.244563,0.00863357,0.0419336,0.230601,0.0606224,0.0113666,0.0613652,0.0701322,0.114384,0.00105303,0.225615,0.0357443,0.0120074,0.0399092,0.0604157,0.126307,0.0437916,0.129836,0.0481121,0.132652,0.120266,-0.0665225,0.0620584,0.0683075,0.136367,0.0225472,0.212691,0.200641,0.206759,0.0731783,0.0978324,0.1025,-0.0796555,0.457755,-0.149073,0.145998,0.301319,0.382697,0.96528,0.39745,0.262529,-0.366248,0.0606526,0.563844,0.288353,-0.126534,-0.0261541,0.670496,0.304996,0.3948,0.145309,0.221485,0.239383,-0.0712141,0.265461,0.202452,0.204716,0.407596,0.00288046,-0.0170242,-0.0203883,0.0391742,0.361815,0.549741,0.0332865,0.303229
1945,0.00469596,0.0925029,-0.194699,0.203756,-0.0977076,-0.18733,0.121457,0.240787,0.143793,-0.0812086,-0.177669,-0.175523,-0.0395901,-0.0331135,-0.0263716,-0.00608602,0.161483,0.0960302,0.129445,-0.0536235,0.144171,0.162061,0.141102,-0.125845,-0.212961,0.147251,0.0524697,-0.149744,0.12295,0.0282894,-0.094971,0.10079,-0.074656,0.235718,0.600925,0.111218,0.284069,0.400253,0.476236,0.238171,0.356389,0.140693,0.0707478,0.242245,0.0976267,0.251895,0.191668,0.469532,0.2849,0.349768,0.254719,0.244863,0.463299,0.475604,0.217161,0.22216,0.554728,0.154815,0.152364,0.541116,0.342003,0.550965,0.150112,0.473435,0.386932,0.151412,0.428575,0.0284703,0.701078,-0.240752,0.29015,0.0555544,0.264416,0.057124,0.490498,-0.0333741,0.260621,0.450918,0.526896,0.402483,0.420688,0.588589,0.16086,0.778033,0.36784,0.00892624,0.511611,0.304679,0.258269,-0.018681,0.375809,0.61542,0.362686,-0.20012,-0.230879,0.468566,0.859575,0.166877,0.291528,0.270394,0.307096,0.189398,0.346316,0.179592,0.507478,0.1136,0.0910321,0.444047,0.255654,0.480636,0.375406,0.402922,0.242535,0.3086,0.380105,0.338772,0.239345,0.285538,0.272143,0.180989,-0.0174204,0.241445,0.27937,0.174198,0.0256828,0.313146,0.0984862,0.117134,0.134066,0.111207,0.324841,0.502667,0.11622,-0.00698991,0.104315,0.0935408,0.0789422,-0.0633601,0.101368,0.121105,0.0778885,-0.0227117,0.0629709,0.170189,-0.0292572,0.146986,0.217533,0.133859,0.0518458,-0.0533183,0.240276,0.0523328,-0.0115304,0.216369,0.24111,0.0324186,0.154801,0.0802344,-0.0899622,0.0509755,0.0770218,0.269686,0.191445,0.110968,0.123848,0.259454,0.0521214,0.245439,0.595799,0.0131517,0.137379,0.368423,0.194612,0.328487,0.221913,0.604406,0.151429,0.294743,-0.122761,0.744814,-0.355034,0.538518,0.29409,0.213562,-0.203286,-0.402759,0.616077,0.0812389,0.108641,0.213343,0.543931,-0.139269,-0.183352,0.249449,0.689927,0.0972938,0.312579,0.308607
1944,0.141924,0.165591,0.00812884,-0.142693,0.0495073,-0.0915428,0.114139,-0.0561817,-0.216241,0.0487247,-0.132188,0.0176918,-0.0253635,0.0323892,0.114686,0.178932,-0.0442662,-0.19094,0.0326786,0.00204935,-0.0512784,0.177237,0.13083,-0.0716512,0.0523477,-0.0806151,-0.120152,-0.0561827,0.0473309,-0.0777371,-0.132777,0.218116,-0.0858414,0.279246,0.430866,0.343285,0.451063,0.390738,0.376464,0.593475,0.514905,0.131829,0.403263,0.428957,0.263375,0.375637,0.46818,0.235095,0.177688,0.280416,0.43681,0.384021,0.416368,0.541618,0.473927,0.232724,0.43866,0.25575,0.229384,0.319096,0.406619,0.207006,0.321934,0.537224,0.152679,0.273409,0.254362,0.0525964,0.908178,0.361143,0.208257,0.636007,0.689828,0.074255,0.717363,0.438773,0.299171,0.233398,0.37498,0.853088,0.630244,0.387869,0.682188,0.610678,0.527849,0.532746,0.474965,0.305957,0.313694,0.222963,-0.105186,0.402135,0.491618,0.66383,0.247271,0.394676,0.738387,0.673752,0.449662,0.273834,0.310536,0.192838,0.349757,0.183032,0.510918,0.117041,0.0944723,0.447487,0.259094,0.484077,0.378846,0.406362,0.245975,0.31204,0.383545,0.342212,0.242785,0.288978,0.275583,0.184429,-0.0139802,0.244885,0.28281,0.177639,0.029123,0.316586,0.101926,0.120574,0.137507,0.114647,0.328282,0.506107,0.0972961,-0.0245169,0.17219,0.153036,0.0328497,0.177084,0.166396,0.0834967,0.0330718,0.131585,0.311361,0.0864912,0.226864,-0.00867474,0.130492,-0.0466762,-0.0162952,0.0335861,0.152205,0.07045,0.22822,0.255799,0.34982,-0.0413181,-0.0354459,0.121246,0.191936,0.215078,0.200062,0.171635,0.286489,0.0792236,0.0384824,0.419461,0.624501,0.169313,0.687819,0.380039,0.28064,0.492809,0.403834,-0.0700246,0.0569834,0.504286,0.124978,0.164509,0.414768,0.75869,0.224945,0.345287,0.37255,0.511362,-0.337522,0.00423612,0.689287,0.18917,0.404374,0.234712,0.468905,0.201514,-0.297814,0.758032,0.401965,0.197443,0.314947,0.43792
1943,0.34992,0.124263,0.0571426,0.171755,0.15498,-0.0225796,-0.00433278,-0.0253951,0.0407647,-0.171463,-0.185946,0.0979421,-0.024857,0.00872386,-0.146074,-0.217559,-0.194619,0.140423,0.032395,0.0582438,-0.0991269,0.112881,0.0304618,-0.151539,0.0470438,-0.0794819,0.0961423,0.226779,0.0525589,-0.0767941,0.112326,0.0787996,-0.128379,0.27256,0.464475,0.556961,0.50872,0.597777,0.48888,0.747525,0.542799,0.405457,0.544185,0.349294,0.369088,0.317028,0.364586,0.661893,0.41082,0.352606,0.407749,0.30187,0.48244,0.345554,0.648647,0.476983,0.422427,0.477385,0.414226,0.280651,0.479977,0.695686,0.291527,0.68359,0.0949621,0.451265,0.483509,0.565528,0.967873,1.0642,0.746337,1.37327,0.91025,0.510015,0.706347,1.14063,0.0736749,0.433183,0.72988,0.535502,0.719823,0.37258,0.372531,0.392452,1.18626,0.88894,0.94509,0.843346,0.914019,0.465485,0.991541,0.668809,0.784829,0.794538,0.582798,0.915054,0.997514,0.762239,0.489331,0.275228,0.311929,0.194232,0.35115,0.184426,0.512311,0.118434,0.0958659,0.448881,0.260488,0.48547,0.38024,0.407756,0.247369,0.313434,0.384939,0.343605,0.244179,0.290372,0.276977,0.185822,-0.0125866,0.246278,0.284204,0.179032,0.0305166,0.31798,0.10332,0.121968,0.1389,0.116041,0.329675,0.5075,-0.0329402,0.217553,-0.0302517,-0.00223268,0.171633,0.1641,0.397129,0.0835102,0.165798,0.0411495,-0.133585,0.0439468,0.182546,0.013114,0.189496,0.0612808,0.0998616,0.315905,0.250432,0.15835,0.0726629,0.0858723,0.0854119,0.180147,0.161014,0.165865,0.26631,0.19528,-0.0538326,0.225811,0.236234,0.260792,0.213085,0.847715,0.492595,0.22852,1.25683,0.030943,0.390518,0.238092,0.729727,0.119286,0.101077,0.590277,0.434733,0.589691,0.705707,0.0974342,0.350234,0.568374,0.207218,0.588787,0.271614,0.281832,0.486719,0.199183,0.35972,0.435319,0.285974,0.386116,0.220352,0.244279,0.892674,0.172335,0.320299,0.37144
1942,0.0122261,-0.0609455,0.00370779,-0.14276,-0.129602,0.0950451,-0.109328,0.118076,0.00498509,0.114407,0.0462358,-0.0156545,-0.0332935,0.258246,-0.0287546,0.0555444,0.0234791,-0.160171,-0.121454,-0.103414,-0.0488203,-0.0114901,0.0549157,-0.0817567,-0.128211,-0.00747185,0.0545018,-0.057963,0.00435707,0.0610343,0.115547,0.156052,0.130511,0.301645,0.57651,0.133709,0.384413,0.387524,0.428739,0.539031,0.52822,0.272443,0.403838,0.390679,0.513371,0.142619,0.602553,0.45883,0.346606,0.286581,0.323243,0.174827,0.26798,0.260366,0.405337,0.4996,0.556211,0.602111,0.392136,0.546913,0.590206,0.541444,0.345052,0.488893,0.167887,0.208589,0.380308,0.469528,0.901074,1.06415,0.299759,0.474137,0.789799,0.444412,1.17942,0.584027,0.409536,-0.043895,0.251006,0.493053,0.699787,0.422021,0.463416,0.718149,0.811626,0.548271,0.921708,0.572885,0.847241,0.560952,1.05658,0.422413,0.503648,0.413035,0.361323,1.12395,0.851526,0.577529,0.537518,0.254747,0.291449,0.173751,0.33067,0.163946,0.491831,0.0979539,0.0753856,0.428401,0.240007,0.46499,0.359759,0.387275,0.226888,0.292954,0.364458,0.323125,0.223698,0.269891,0.256496,0.165342,-0.0330669,0.225798,0.263723,0.158552,0.0100363,0.2975,0.0828397,0.101487,0.11842,0.0955602,0.309195,0.48702,0.158363,0.19839,0.0177278,0.115321,-0.0886017,-0.00422675,-0.0977095,-0.0429806,0.154009,0.0504737,0.0848312,0.000776527,0.224565,0.0217614,-0.0050868,0.256241,-0.0793867,-0.10914,0.118665,0.0506114,0.210126,0.106847,0.163962,0.0741602,0.139362,0.133133,0.0183462,0.0596426,-0.00620453,-0.0740835,0.0745746,0.130917,-0.0249408,0.386156,0.397535,0.150728,0.392851,0.136903,0.536221,0.381723,0.785289,0.139642,-0.368727,0.281625,0.685347,0.642852,-0.416444,-0.0927489,0.320523,0.0970631,0.219345,-0.0626557,0.0360528,0.272804,0.620376,0.499724,0.454866,-0.0798059,0.647968,0.518911,0.365759,-0.16312,0.697305,0.540471,0.376356,0.82183
1941,-0.181911,-0.0492672,0.217929,-0.0122664,-0.106383,-0.0158404,0.371002,-0.0461161,-0.14896,0.117531,-0.050071,-0.268346,-0.0635894,-0.0209424,-0.111145,-0.12425,0.0497611,-0.258005,0.0241342,0.0618307,0.0496427,-0.158825,0.108185,-0.120356,0.122784,0.11218,-0.0584945,0.0446261,-0.106807,0.072691,-0.0574271,-0.0113563,0.167985,0.20739,0.480749,0.275259,0.43896,0.244725,0.562356,0.221144,0.378624,0.377433,0.384327,0.0316527,0.402564,-0.0470146,0.470567,0.344287,0.0559932,0.416874,0.288214,0.0748583,0.156942,0.191321,0.188296,0.284168,0.269877,0.493512,0.155688,0.415129,0.31879,0.159353,0.44521,0.313558,-0.00517112,0.232315,0.139773,0.591492,0.646227,0.273879,0.120645,0.319247,0.955237,0.747165,1.1574,0.529144,0.156664,0.0782952,0.334359,0.433923,0.474171,0.168084,0.624181,0.638013,0.655714,0.491542,0.542768,0.509238,0.702192,0.212551,0.361642,0.567097,0.526069,0.58106,0.593058,0.801159,1.08198,0.59842,0.335815,0.243157,0.279858,0.162161,0.319079,0.152355,0.48024,0.0863633,0.063795,0.41681,0.228417,0.453399,0.348169,0.375685,0.215298,0.281363,0.352868,0.311535,0.212108,0.258301,0.244906,0.153751,-0.0446575,0.214207,0.252133,0.146961,-0.00155432,0.285909,0.0712491,0.0898968,0.106829,0.0839696,0.297604,0.47543,0.141422,0.343725,0.0691082,0.429925,0.148798,-0.0574306,0.135307,0.178171,0.336282,0.0889859,0.177179,0.116139,0.101628,-0.12568,0.124038,0.0812341,0.0647028,0.289718,0.169379,0.350667,0.179312,0.325116,0.104574,0.083433,0.204081,0.017976,0.128714,0.209809,0.321976,0.199798,0.154269,0.084893,0.0147797,-0.0982641,-0.0759736,0.172785,0.399019,1.05895,0.179823,0.22834,0.381762,-0.130215,0.0269598,0.0516546,0.224277,0.490893,-0.353452,0.16546,0.506751,0.326615,0.148855,0.273662,0.413759,-0.0363329,0.575719,0.13808,0.507529,0.0633539,0.304477,0.392031,0.119652,-0.287512,0.437431,0.292239,0.216428,0.436164
1940,0.0108071,0.14483,0.132053,0.0827687,0.122559,0.0130706,-0.126751,0.109676,-0.0350564,0.100996,-0.207427,-0.00527516,-0.0715585,0.191083,0.113928,0.234058,-0.0276338,0.164539,0.0156318,-0.224052,-0.232836,0.158349,0.266482,0.0423733,0.116892,0.136222,0.180357,0.00149843,0.134987,-0.0119666,-0.0931469,0.0779563,0.184975,0.402651,0.649983,0.386521,0.476504,0.300172,0.354101,0.328823,0.536932,0.336392,0.555493,0.0873131,0.234582,0.404436,0.599283,0.540411,0.213254,0.346762,0.263086,0.507801,0.391534,0.30081,0.551664,0.370744,0.359264,0.482511,0.347154,0.302428,0.480087,0.112029,0.59615,0.403721,0.382236,0.307744,0.57766,0.783531,0.77497,0.112828,0.649949,0.679022,0.474605,0.356762,0.642372,0.501916,0.794573,0.75418,0.624745,0.682668,0.399001,0.607247,0.217852,0.806241,0.520984,0.393622,0.771636,0.746817,0.438579,0.512625,0.631688,0.728608,0.403232,0.511923,0.901372,0.782632,0.93516,0.431957,0.532563,0.238939,0.275641,0.157943,0.314861,0.148137,0.476023,0.0821454,0.0595771,0.412592,0.224199,0.449181,0.343951,0.371467,0.21108,0.277145,0.34865,0.307317,0.20789,0.254083,0.240688,0.149534,-0.0488754,0.209989,0.247915,0.142743,-0.00577221,0.281691,0.0670312,0.0856789,0.102611,0.0797517,0.293386,0.471212,0.242336,0.0764658,0.218896,0.289539,0.125064,0.338878,0.295393,0.440826,0.215976,0.147403,0.261808,0.21161,0.268445,0.359739,0.0454657,0.249936,0.0975703,0.235563,0.241823,0.156878,0.159393,0.298895,0.089722,0.131342,0.163395,0.116919,0.290006,0.248902,0.114315,0.149301,0.113813,0.158986,0.129213,-0.0558678,0.420464,0.396466,0.398624,0.527612,0.469111,0.383873,0.341314,0.0685512,-0.378766,-0.175098,0.0254347,0.308404,0.447518,0.836931,-0.22976,-0.0976221,0.379513,0.164877,0.177175,0.206583,0.352599,0.745626,0.0387883,0.176707,-0.150296,0.454501,0.339989,0.132179,0.435994,0.607173,0.0167356,0.0966914
